Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/d_Opisthokonta/k_Fungi/p_Microsporidia/c_/o_/f_Pleistophoridae/g_Vavraia	Vavraia	Vavraia culicis	PARA	Obligate				Intracellular parasite	Mosquitoes	https://doi.org/10.1111/j.1752-4571.2011.00199.x				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Microsporidia/c_/o_/f_Spraguidae/g_Spraguea	Spraguea	Spraguea lophii	PARA	Obligate				Intracellular parasite	Fish	https://doi.org/10.1371/journal.pgen.1003676				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Microsporidia/c_/o_/f_Tubulinosematidae/g_Anncaliia	Anncaliia	Anncaliia algerae	PARA	Obligate	Rare Infection			Intracellular parasite	Mosquitoes	https://doi.org/10.1093/ofid/ofz285				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Microsporidia/c_/o_/f_Unikaryonidae/g_Encephalitozoon	Encephalitozoon	Encephalitozoon cuniculi + Encephalitozoon hellem + Encephalitozoon romaleae	PARA	Obligate	Rare Infection			Intracellular parasite	Mammals	https://doi.org/10.2147/VMRR.S49842				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_/o_/f_/g_	Mucoromycota		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Endogonomycetes/o_Endogonales/f_/g_Bifiguratus	Bifiguratus	Bifiguratus adelaidae	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Glomeromycetes/o_Glomerales/f_Glomeraceae/g_	Glomeraceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Glomeromycetes/o_Glomerales/f_Glomeraceae/g_Glomus	Glomus	Glomus sp. BEG19	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Glomeromycetes/o_Glomerales/f_Glomeraceae/g_Rhizophagus	Rhizophagus	Rhizophagus irregularis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mortierellomycetes/o_Mortierellales/f_Mortierellaceae/g_	Mortierellaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mortierellomycetes/o_Mortierellales/f_Mortierellaceae/g_Lobosporangium	Lobosporangium	Lobosporangium transversale	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mortierellomycetes/o_Mortierellales/f_Mortierellaceae/g_Mortierella	Mortierella	Mortierella alpina + Mortierella elongata + Mortierella verticillata	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_/g_	Mucorales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Choanephoraceae/g_	Choanephoraceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Choanephoraceae/g_Choanephora	Choanephora	Choanephora cucurbitarum	PARA	Facultative	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.1038/srep40432				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Cunninghamellaceae/g_	Cunninghamellaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Cunninghamellaceae/g_Absidia	Absidia	Absidia glauca + Absidia repens	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Cunninghamellaceae/g_Hesseltinella	Hesseltinella	Hesseltinella vesiculosa	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Lichtheimiaceae/g_Lichtheimia	Lichtheimia	Lichtheimia corymbifera + Lichtheimia ramosa	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Mucoraceae/g_	Mucoraceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Mucoraceae/g_Mucor	Mucor	Mucor ambiguus + Mucor circinelloides	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Mucoraceae/g_Parasitella	Parasitella	Parasitella parasitica	PARA	Facultative					Fungi	https://doi.org/10.1016/j.gene.2005.01.007				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Phycomycetaceae/g_Phycomyces	Phycomyces	Phycomyces blakesleeanus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Rhizopodaceae/g_Rhizopus	Rhizopus	Rhizopus delemar + Rhizopus microsporus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Mucoromycota/c_Mucoromycetes/o_Mucorales/f_Syncephalastraceae/g_Syncephalastrum	Syncephalastrum	Syncephalastrum racemosum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Olpidiomycota/c_Olpidiomycetes/o_Olpidiales/f_Olpidiaceae/g_Olpidium	Olpidium	Olpidium bornovanus	PARA	Obligate	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.1186/1471-2148-11-331				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_/o_/f_/g_	Zoopagomycota		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Basidiobolomycetes/o_Basidiobolales/f_Basidiobolaceae/g_Basidiobolus	Basidiobolus	Basidiobolus meristosporus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Entomophthoromycetes/o_Entomophthorales/f_Ancylistaceae/g_Conidiobolus	Conidiobolus	Conidiobolus coronatus + Conidiobolus stilbeus	PARA	Facultative	Rare Infection				Human	https://doi.org/10.18295/squmj.2018.18.04.022				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Entomophthoromycetes/o_Entomophthorales/f_Entomophthoraceae/g_Entomophthora	Entomophthora	Entomophthora planchoniana	PARA	Obligate					Insects	https://doi.org/10.1007/s10340-017-0915-3				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Harpellomycetes/o_Harpellales/f_/g_	Harpellales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Harpellomycetes/o_Harpellales/f_Harpellaceae/g_Furculomyces	Furculomyces	Furculomyces boomerangus	PARA	Obligate					Insects	https://doi.org/10.1128/mBio.00636-18	https://doi.org/10.1080/00275514.2000.12061251			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Harpellomycetes/o_Harpellales/f_Legeriomycetaceae/g_	Legeriomycetaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Harpellomycetes/o_Harpellales/f_Legeriomycetaceae/g_Smittium	Smittium	Smittium angustum + Smittium culicis + Smittium megazygosporum + Smittium mucronatum + Smittium simulii	PARA	Obligate					Mosquitoes	https://doi.org/10.1016/B0-44-451924-6/00088-0	https://doi.org/10.1128/mBio.00636-18	https://doi.org/10.1139/cjb-2022-0068	https://doi.org/10.1016/j.mycres.2008.06.024	Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Harpellomycetes/o_Harpellales/f_Legeriomycetaceae/g_Zancudomyces	Zancudomyces	Zancudomyces culisetae	PARA	Obligate					Mosquitoes	https://doi.org/10.1128/AEM.02334-19	https://doi.org/10.1128/mBio.00636-18	https://doi.org/10.1128/aem.02334-19		Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Kickxellomycetes/o_Kickxellales/f_Kickxellaceae/g_	Kickxellaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Kickxellomycetes/o_Kickxellales/f_Kickxellaceae/g_Coemansia	Coemansia	Coemansia reversa	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Zoopagomycota/c_Kickxellomycetes/o_Kickxellales/f_Kickxellaceae/g_Linderina	Linderina	Linderina pennispora	SAP											Yes
Eukaryota/d_Opisthokonta/p_/c_/o_/f_/g_	Opisthokonta		NA											Yes
Eukaryota/d_Opisthokonta/p_/c_/o_Rotosphaerida/f_Fonticulaceae/g_Fonticula	Fonticula	Fonticula alba	HET											Yes
Eukaryota/d_Opisthokonta/p_/c_/o_Rotosphaerida/f_Nucleariidae/g_Nuclearia	Nuclearia	Nuclearia simplex	HET											Yes
Eukaryota/d_Opisthokonta/p_/c_Aphelidea/o_/f_/g_Amoeboaphelidium	Amoeboaphelidium	Amoeboaphelidium protococcarum	PARA	Obligate					Algae	https://doi.org/10.1371/journal.pone.0056232				Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_/f_/g_	Choanoflagellata		NA											Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Acanthoecida/f_/g_	Acanthoecida		NA											Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Acanthoecida/f_Acanthoecidae/g_	Acanthoecidae		HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Acanthoecida/f_Acanthoecidae/g_Acanthoeca	Acanthoeca		HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Acanthoecida/f_Stephanoecidae/g_Stephanoeca	Stephanoeca	Stephanoeca diplocostata	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_	Salpingoecidae		HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_Codosiga	Codosiga	Codosiga botrytis + Codosiga hollandica	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_Hartaetosiga	Hartaetosiga	Hartaetosiga gracilis	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_Monosiga	Monosiga	Monosiga brevicollis + Monosiga ovata	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_Mylnosiga	Mylnosiga	Mylnosiga fluctuans	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_Proterospongia	Proterospongia	Proterospongia choanojuncta	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Choanoflagellata/o_Craspedida/f_Salpingoecidae/g_Salpingoeca	Salpingoeca	Salpingoeca amphoridium + Salpingoeca macrocollata + Salpingoeca punica + Salpingoeca rosetta	HET		Epibiont									Yes
Eukaryota/d_Opisthokonta/p_/c_Filasterea/o_/f_/g_Capsaspora	Capsaspora	Capsaspora owczarzaki	PARA	Facultative					Freshwater Snail	https://doi.org/10.7554/eLife.77598				Yes
Eukaryota/d_Opisthokonta/p_/c_Ichthyosporea/o_Ichthyophonida/f_/g_Creolimax	Creolimax	Creolimax fragrantissima	PARA	Facultative					Siponcles	https://doi.org/10.1016/j.protis.2008.03.003				Yes
Eukaryota/d_Opisthokonta/p_/c_Ichthyosporea/o_Ichthyophonida/f_/g_Sphaeroforma	Sphaeroforma	Sphaeroforma arctica	PARA	Facultative					Isolated from Gammare without clear host location	https://doi.org/10.1078/0932-4739-00855				Yes
Eukaryota/d_Rhizaria/p_/c_/o_/f_/g_	Rhizaria		NA											Yes
Eukaryota/d_Rhizaria/p_/c_/o_/f_/g_Corallomyxa	Corallomyxa	Corallomyxa tenera	HET											Yes
Eukaryota/d_Rhizaria/p_/c_/o_Sticholonchida/f_Sticholonchidae/g_Sticholonche	Sticholonche	Sticholonche zanclea	HET											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_/o_/f_/g_	Cercozoa		NA											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_/o_Cercomonadida/f_Cercomonadidae/g_Cercomonas	Cercomonas	Cercomonas sp. ATCC 50316 + Cercomonas sp. ATCC 50318 + Cercomonas sp. ATCC 50319 + Cercomonas sp. ATCC PRA-21	HET											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_/o_Cercomonadida/f_Heteromitidae/g_Heteromita	Heteromita	Heteromita sp. PRA-74	HET							https://doi.org/10.1111/j.1574-6968.2001.tb09443.x				Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_/o_Glissomonadida/f_Viridiraptoridae/g_Bodomorpha	Bodomorpha	Bodomorpha minima	HET											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_	Chlorarachniophyceae		NA											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Amorphochlora	Amorphochlora	Amorphochlora amoebiformis	PHOTO							https://doi.org/10.1016/j.algal.2020.101903				Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Bigelowiella	Bigelowiella	Bigelowiella longifila + Bigelowiella natans	PHOTO							https://doi.org/10.1016/j.tplants.2009.10.001				Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Chlorarachnion	Chlorarachnion	Chlorarachnion reptans	PHOTO							https://doi.org/10.2216/i0031-8884-33-5-351.1				Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Gymnochlora	Gymnochlora		PHOTO											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Lotharella	Lotharella	Lotharella globosa + Lotharella oceanica	PHOTO											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Norrisiella	Norrisiella	Norrisiella sphaerica	PHOTO											Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Chlorarachniophyceae/o_/f_/g_Partenskyella	Partenskyella	Partenskyella glossopodia	PHOTO							https://doi.org/10.1016/j.protis.2008.09.003				Yes
Eukaryota/d_Rhizaria/p_Cercozoa/c_Thecofilosea/o_Tectofilosida/f_Chlamydophryidae/g_Lecythium	Lecythium	Lecythium sp. 3678_261K	HET											Yes
Eukaryota/d_Rhizaria/p_Endomyxa/c_/o_Plasmodiophorida/f_Plasmodiophoridae/g_	Plasmodiophoridae		NA											Yes
Eukaryota/d_Rhizaria/p_Endomyxa/c_/o_Plasmodiophorida/f_Plasmodiophoridae/g_Plasmodiophora	Plasmodiophora	Plasmodiophora brassicae	PARA	Obligate	Endophyte		Biotrophic	Intracellular parasite	Phytopathogen	https://doi.org/10.1094/phyto-01-13-0010-r	https://doi.org/10.1094/PHYTO-02-20-0029-R			Yes
Eukaryota/d_Rhizaria/p_Endomyxa/c_/o_Plasmodiophorida/f_Plasmodiophoridae/g_Spongospora	Spongospora	Spongospora subterranea	PARA	Obligate	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.3389/fmicb.2021.691877	https://doi.org/10.1094/PDIS-05-19-1092-RE			Yes
Eukaryota/d_Rhizaria/p_Endomyxa/c_/o_Vampyrellida/f_Leptophryidae/g_Arachnula	Arachnula	Arachnula sp. CL12	HET							https://doi.org/10.1038/ismej.2013.116				Yes
Eukaryota/d_Rhizaria/p_Endomyxa/c_Ascetosporea/o_Haplosporida/f_Haplosporidiidae/g_Minchinia	Minchinia	Minchinia chitonis	PARA	Obligate					Chiton	https://doi.org/10.1016/j.jip.2007.07.002	https://doi.org/10.1093/molbev/msv340	https://doi.org/10.1017/S003118200005513X		Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_/f_/g_	Foraminifera		NA											Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_/f_Reticulomyxidae/g_Reticulomyxa	Reticulomyxa	Reticulomyxa filosa	HET							https://doi.org/10.1016/j.cub.2013.11.027				Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_Miliolida/f_Soritidae/g_Sorites	Sorites	Sorites sp.	MIXO	eSNCM		(S. marginalis + S. orbiculus: endosymbionts)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_Rotaliida/f_/g_	Rotaliida		NA											Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_Rotaliida/f_Elphidiidae/g_Elphidium	Elphidium	Elphidium margaritaceum	MIXO	pSNCM		kleptochloroplasts				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_Rotaliida/f_Rosalinidae/g_Rosalina	Rosalina		HET							https://doi.org/10.1111/j.1550-7408.1965.tb01838.x				Yes
Eukaryota/d_Rhizaria/p_Foraminifera/c_/o_Rotaliida/f_Rotaliidae/g_Ammonia	Ammonia	Ammonia sp.	HET							https://doi.org/10.1016/j.ecss.2019.106385				Yes
Eukaryota/d_Rhizaria/p_Imbricatea/c_/o_Euglyphida/f_Paulinellidae/g_Paulinella	Paulinella	Paulinella chromatophora + Paulinella longichromatophora + Paulinella micropora	PHOTO							https://doi.org/10.1111/jpy.13003				Yes
Eukaryota/d_Rhizaria/p_Imbricatea/c_/o_Thaumatomonadida/f_Thaumatomastigidae/g_Thaumatomonas	Thaumatomonas	Thaumatomonas sp. TMT002	HET							https://doi.org/10.1111/j.1550-7408.2007.00274.x				Yes
Eukaryota/d_Stramenopiles/p_/c_/o_/f_/g_	Stramenopiles		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Actinophryidae/o_/f_/g_Actinophrys	Actinophrys	Actinophrys sol	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_/f_/g_	Bigyra		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Bicosoecida/f_/g_	Bicosoecida		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Bicosoecida/f_Cafeteriaceae/g_Cafeteria	Cafeteria	Cafeteria roenbergensis	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Bicosoecida/f_Siluaniidae/g_Nerada	Nerada	Nerada mexicana	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Labyrinthulomycetes/f_Thraustochytriaceae/g_	Thraustochytriaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Labyrinthulomycetes/f_Thraustochytriaceae/g_Aplanochytrium	Aplanochytrium	Aplanochytrium kerguelense + Aplanochytrium stocchinoi	PARA	Obligate					Bacillariophyta	http://dx.doi.org/10.1371/journal.pone.0208941				Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Labyrinthulomycetes/f_Thraustochytriaceae/g_Aurantiochytrium	Aurantiochytrium	Aurantiochytrium limacinum + Aurantiochytrium sp. L-BL10	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Labyrinthulomycetes/f_Thraustochytriaceae/g_Hondaea	Hondaea	Hondaea fermentalgiana	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Labyrinthulomycetes/f_Thraustochytriaceae/g_Schizochytrium	Schizochytrium	Schizochytrium aggregatum + Schizochytrium sp. ATCC PTA-9695	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Labyrinthulomycetes/f_Thraustochytriaceae/g_Thraustochytrium	Thraustochytrium	Thraustochytrium aureum + Thraustochytrium roseum + Thraustochytrium sp.	PARA	Facultative					"Flatworm, Diatoms"	https://doi.org/10.1007/s00227-007-0755-4	https://doi.org/10.1111/jeu.12796			Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Opalinata/f_Blastocystidae/g_Blastocystis	Blastocystis	Blastocystis hominis + Blastocystis sp. subtype 1	PARA	Facultative	Rare Infection				Human	https://doi.org/10.1177/2049936113504754				Yes
Eukaryota/d_Stramenopiles/p_/c_Bigyra/o_Opalinata/f_Opalinidae/g_Cepedea	Cepedea	Cepedea sp. Rr5	PARA	Facultative					Amphibian	https://doi.org/10.1051/parasite/2017006				Yes
Eukaryota/d_Stramenopiles/p_/c_Bolidophyceae/o_Parmales/f_Triparmaceae/g_	Triparmaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Bolidophyceae/o_Parmales/f_Triparmaceae/g_Bolidomonas	Bolidomonas		MIXO	CM		Bacterivory				https://doi.org/10.1111/j.1462-2920.2008.01793.x				Yes
Eukaryota/d_Stramenopiles/p_/c_Bolidophyceae/o_Parmales/f_Triparmaceae/g_Triparma	Triparma	Triparma laevis + Triparma pacifica	MIXO	CM		T. eleuthera and T. mediterranea: Bacterivory)				https://doi.org/10.1038/s41396-022-01204-z				Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_/g_	Chromulinales		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_Chromulinaceae/g_	Chromulinaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_Chromulinaceae/g_Chromulina	Chromulina	Chromulina nebulosa	MIXO	CM		(Chromulina sp.: Bacterivory)				https://doi.org/10.1111/jpy.12865				Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_Chromulinaceae/g_Ochromonas	Ochromonas	Ochromonas danica + Ochromonas sp. CCMP1393	MIXO	CM		(Ochromonas sp.: Ingestion of prey (Estep et al 1986/ Andersson et al 1989)/ ingestion of fluorescently labelled bacteria (Keller et al 1994)/ see also Stoecker & Lavrentyev (2018) Frontiers Marine Science)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_Chromulinaceae/g_Spumella	Spumella	Spumella elongata	HET							https://doi.org/10.3389/fpls.2021.758067				Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_Dinobryaceae/g_Dinobryon	Dinobryon		MIXO	CM		D. balticum + D. faculiferum: ingestion of fluorescent latex-beads				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Chrysophyceae/o_Chromulinales/f_Paraphysomonadaceae/g_Paraphysomonas	Paraphysomonas	Paraphysomonas bandaiensis + Paraphysomonas imperforata + Paraphysomonas vestita	HET											Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_/f_/g_	Dictyochophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_Dictyochales/f_/g_Dictyocha	Dictyocha	Dictyocha speculum	PHOTO							https://doi.org/10.1111/pre.12107				Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_Florenciellales/f_/g_Florenciella	Florenciella	Florenciella parvula	MIXO	CM		"ingestion of Prochlorococcus, Synechococcus, Marinobacter sp (family Alternomonadaceae), unknown bacteria from family Rhodobacteraceae"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_Pedinellales/f_/g_	Pedinellales		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_Pedinellales/f_/g_Pseudopedinella	Pseudopedinella	Pseudopedinella elastica	MIXO	CM		Bacterivory				http://dx.doi.org/10.3354/ame01780				Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_Pedinellales/f_/g_Pteridomonas	Pteridomonas	Pteridomonas danica	HET							https://doi.org/10.3389/fpls.2020.602455				Yes
Eukaryota/d_Stramenopiles/p_/c_Dictyochophyceae/o_Rhizochromulinales/f_/g_Rhizochromulina	Rhizochromulina	Rhizochromulina marina	MIXO	CM		(Rhizochromulina sp.: Bacterivory)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Eustigmatophyceae/o_Eustigmatales/f_Eustigmataceae/g_Vischeria	Vischeria	Vischeria sp. CAUP Q 202	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Eustigmatophyceae/o_Eustigmatales/f_Monodopsidaceae/g_	Monodopsidaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Eustigmatophyceae/o_Eustigmatales/f_Monodopsidaceae/g_Nannochloropsis	Nannochloropsis	Nannochloropsis gaditana + Nannochloropsis oceanica + Nannochloropsis oculata + Nannochloropsis sp. CCMP1779 + Nannochloropsis sp. NIES-2145 + Nannochloropsis sp. W2J3B	PHOTO							https://doi.org/10.3390/md20070424				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_/f_/g_	Oomycetes		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Albuginales/f_Albuginaceae/g_Albugo	Albugo	Albugo candida + Albugo laibachii	PARA	Obligate	Endophyte		Biotrophic	White rust	Phytopathogen	https://doi.org/10.3389/fpls.2016.00820				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Lagenidiales/f_Lagenidiaceae/g_Lagenidium	Lagenidium	Lagenidium giganteum	PARA	Facultative					Insects	https://doi.org/10.2987/8756-971X(2007)23[50:OLG]2.0.CO/2				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Leptomitales/f_/g_Apodachlya	Apodachlya	Apodachlya brachynema	SAP							https://doi.org/10.1007/BF00418292				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Peronosporales/f_Peronosporaceae/g_	Peronosporaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Peronosporales/f_Peronosporaceae/g_Hyaloperonospora	Hyaloperonospora	Hyaloperonospora arabidopsidis	PARA	Obligate	Endophyte		Biotrophic	Mildew type	Phytopathogen/Mildiou	https://doi.org/10.1146/annurev-phyto-080508-094422				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Peronosporales/f_Peronosporaceae/g_Phytophthora	Phytophthora	Phytophthora capsici + Phytophthora cinnamomi + Phytophthora infestans + Phytophthora megakarya + Phytophthora nicotianae + Phytophthora palmivora + Phytophthora parasitica + Phytophthora ramorum + Phytophthora sojae	PARA	Obligate	Endophyte		Hemibiotrophic		Phytopathogen	https://doi.org/10.1111/mpp.12568	https://doi.org/10.1186/s43008-022-00097-z			Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Peronosporales/f_Peronosporaceae/g_Plasmopara	Plasmopara	Plasmopara halstedii + Plasmopara viticola	PARA	Obligate	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.1111/mpp.12164				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Peronosporales/f_Peronosporaceae/g_Pseudoperonospora	Pseudoperonospora	Pseudoperonospora cubensis	PARA	Obligate	Endophyte		Biotrophic	Cucurbit downy mildew	Phytopathogen	https://doi.org/10.1111/j.1364-3703.2010.00670.x				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Pythiales/f_Pythiaceae/g_	Pythiaceae		NA											Yes
